candidate_course_label,candidate_jurisdiction,physical_venue_name,locality,region,country,latitude,longitude,iana_timezone,location_evidence,location_validation_status,raw_course_labels,provisional_races,meeting_dates,earliest_date,latest_date
Southwell (AW),Great Britain,Southwell Racecourse,Newark and Sherwood,England,United Kingdom,53.0688782,-0.9072298,Europe/London,"Nominatim conservative automatic selection from query 'Southwell racecourse, United Kingdom'; selected result index 0.",automatically_validated,Southwell (AW),3403,464,2015-01-01,2025-10-07
Stratford,Great Britain,Stratford upon Avon Racecourse,Stratford-on-Avon,England,United Kingdom,52.1806439,-1.7194238,Europe/London,"Nominatim conservative automatic selection from query 'Stratford racecourse, United Kingdom'; selected result index 0.",automatically_validated,Stratford,1168,170,2015-03-09,2025-10-06
Taunton,Great Britain,Taunton Racecourse,Taunton,England,United Kingdom,50.9884292,-3.0819752,Europe/London,"Nominatim conservative automatic selection from query 'Taunton racecourse, United Kingdom'; selected result index 0.",automatically_validated,Taunton,906,133,2015-01-07,2025-04-23
Thirsk,Great Britain,Thirsk Racecourse,Thirsk,England,United Kingdom,54.2312296,-1.3555738,Europe/London,"Nominatim conservative automatic selection from query 'Thirsk racecourse, United Kingdom'; selected result index 0.",automatically_validated,Thirsk,1193,161,2015-04-18,2025-09-15
Towcester,Great Britain,Towcester Racecourse,Towcester,England,United Kingdom,52.1258838,-0.9720185,Europe/London,"Nominatim conservative automatic selection from query 'Towcester racecourse, United Kingdom'; selected result index 1.",automatically_validated,Towcester,259,39,2015-01-29,2018-05-21
Uttoxeter,Great Britain,Uttoxeter Racecourse,East Staffordshire,England,United Kingdom,52.8926961,-1.8455608,Europe/London,"Nominatim conservative automatic selection from query 'Uttoxeter racecourse, United Kingdom'; selected result index 0.",automatically_validated,Uttoxeter,1742,243,2015-01-24,2025-10-05
Warwick,Great Britain,,,,,,,Europe/London,,unassigned,Warwick,1201,172,2015-01-10,2025-10-01
Wetherby,Great Britain,Wetherby Racecourse,Leeds,England,United Kingdom,53.9325094,-1.3623655,Europe/London,"Nominatim conservative automatic selection from query 'Wetherby racecourse, United Kingdom'; selected result index 0.",automatically_validated,Wetherby,1209,174,2015-01-10,2025-06-19
Wincanton,Great Britain,Wincanton Racecourse,Wincanton,England,United Kingdom,51.067347,-2.4166335,Europe/London,"Nominatim conservative automatic selection from query 'Wincanton racecourse, United Kingdom'; selected result index 0.",automatically_validated,Wincanton,1010,146,2015-01-03,2025-03-31
Windsor,Great Britain,Windsor Racecourse,Windsor,England,United Kingdom,51.4893115,-0.6429738,Europe/London,"Nominatim conservative automatic selection from query 'Windsor racecourse, United Kingdom'; selected result index 0.",automatically_validated,Windsor,1863,264,2015-04-13,2025-09-08
Wolverhampton (AW),Great Britain,Wolverhampton Racecourse,Wolverhampton,England,United Kingdom,52.6040433,-2.1435772,Europe/London,"Nominatim conservative automatic selection from query 'Wolverhampton racecourse, United Kingdom'; selected result index 0.",automatically_validated,Wolverhampton (AW),6528,866,2015-01-02,2025-10-11
Worcester,Great Britain,Worcester Racecourse,Worcester,England,United Kingdom,52.1990455,-2.2348201,Europe/London,"Nominatim conservative automatic selection from query 'Worcester racecourse, United Kingdom'; selected result index 0.",automatically_validated,Worcester,1377,191,2015-05-07,2025-09-26
Yarmouth,Great Britain,Great Yarmouth Racecourse,Great Yarmouth,England,United Kingdom,52.6358899,1.7330893,Europe/London,"Nominatim conservative automatic selection from query 'Yarmouth racecourse, United Kingdom'; selected result index 0.",automatically_validated,Yarmouth,1580,223,2015-08-30,2025-10-13
York,Great Britain,York Racecourse,York,England,United Kingdom,53.9370439,-1.1023316,Europe/London,"Nominatim conservative automatic selection from query 'York racecourse, United Kingdom'; selected result index 0.",automatically_validated,York,1310,189,2015-05-13,2025-10-11
