candidate_course_label,candidate_jurisdiction,provisional_races,decision,decision_reason,physical_venue_name,iana_timezone,requests_sent,requests_reused
Al Uqda,Qatar,3,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Avenches,Switzerland,3,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,3
Camden (South Carolina),United States,3,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Finger Lakes,United States,3,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Great Meadow,United States,3,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Ballarat,Australia,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Kyneton,Australia,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Moe,Australia,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Ghlin,Belgium,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Blain-Bouvron-Le-Gavre,France,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
La Roche-Posay,France,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Meslay-Du-Maine,France,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Nort-Sur-Erdre,France,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Sille-Le-Guillaume,France,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Tours,France,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Wissembourg,France,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Bremen,Germany,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Siracusa,Italy,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Ashburton,New Zealand,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Dielsdorf,Switzerland,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,3
Ankara,Turkey,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Mahoning Valley,United States,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Zia park,United States,2,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Alice springs,Australia,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Armidale,Australia,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Gundagai,Australia,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Morphettville Parks,Australia,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Pinjara Park Course,Australia,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Sale,Australia,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Toowoomba,Australia,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Wagga Wagga,Australia,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Wangaratta,Australia,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Ostend,Belgium,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Waregem,Belgium,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Fort Erie,Canada,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Velka Chuchle,Czech Republic,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Angouleme,France,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Auch,France,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Cavaillon,France,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Evreux,France,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
La Roche-Sur-Yon,France,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
